Position,Level,Salary
Business Analyst,1,45000
Junior Consultant,2,50000
Senior Consultant,3,60000
Manager,4,80000
Country Manager,5,110000
Region Manager,6,150000
Partner,7,200000
Senior Partner,8,300000
C-level,9,500000
CEO,10,1000000
Executive CEO,11,1100000
Global Partner,12,1200000
Chief Strategist,13,1300000
Senior Manager,14,1400000
Regional Director,15,1500000
International Consultant,16,1600000
Corporate Analyst,17,1700000
Vice President,18,1800000
Board Member,19,1900000
Founder,20,2000000
Co-Founder,21,2100000
Executive CEO,11,1100000
Global Partner,12,1200000
Chief Strategist,13,1300000
Senior Manager,14,1400000
Regional Director,15,1500000
International Consultant,16,1600000
Corporate Analyst,17,1700000
Vice President,18,1800000
Board Member,19,1900000
Founder,20,2000000
Co-Founder,21,2100000
Chief Executive,22,2200000
Managing Director,23,2300000
Executive CEO,11,1100000
Global Partner,12,1200000
Chief Strategist,13,1300000
Senior Manager,14,1400000
Regional Director,15,1500000
International Consultant,16,1600000
Corporate Analyst,17,1700000
Vice President,18,1800000
Board Member,19,1900000
Founder,20,2000000
Co-Founder,21,2100000
Chief Executive,22,2200000
Managing Director,23,2300000
Operations Head,24,2400000
Finance Director,25,2500000
Marketing Lead,26,2600000
Tech Lead,27,2700000
HR Director,28,2800000
Sales Director,29,2900000
Product Manager,30,3000000
Executive CEO,11,1100000
Global Partner,12,1200000
Chief Strategist,13,1300000
Senior Manager,14,1400000
Regional Director,15,1500000
International Consultant,16,1600000
Corporate Analyst,17,1700000
Vice President,18,1800000
Board Member,19,1900000
Founder,20,2000000
Co-Founder,21,2100000
Chief Executive,22,2200000
Managing Director,23,2300000
Operations Head,24,2400000
Finance Director,25,2500000
Marketing Lead,26,2600000
Tech Lead,27,2700000
HR Director,28,2800000
Sales Director,29,2900000
Product Manager,30,3000000
Executive CEO,11,1100000
Global Partner,12,1200000
Chief Strategist,13,1300000
Senior Manager,14,1400000
Regional Director,15,1500000
International Consultant,16,1600000
Corporate Analyst,17,1700000
Vice President,18,1800000
Board Member,19,1900000
Founder,20,2000000
Co-Founder,21,2100000
Chief Executive,22,2200000
Managing Director,23,2300000
Operations Head,24,2400000
Finance Director,25,2500000
Marketing Lead,26,2600000
Tech Lead,27,2700000
HR Director,28,2800000
Sales Director,29,2900000
Product Manager,30,3000000
Executive CEO,11,1100000
Global Partner,12,1200000
Chief Strategist,13,1300000
Senior Manager,14,1400000
Regional Director,15,1500000
International Consultant,16,1600000
Corporate Analyst,17,1700000
Vice President,18,1800000
Board Member,19,1900000
Founder,20,2000000
Co-Founder,21,2100000
Chief Executive,22,2200000
Managing Director,23,2300000
